,발생일,발생시간,발생지_시도,발생지_시군구,요일,사고내용,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자성별,가해자연령,가해당사자종별,가해자신체상해정도,피해자성별,피해자연령,피해당사자종별,피해자신체상해정도,가해차량용도_대분류,가해차량용도_중분류,가해차량용도,피해차량용도_대분류,피해차량용도_중분류,피해차량용도,기상상태,노면상태,사망자수,중상자수,경상자수,부상신고자수,응급실 개수,시군구별_인구,Risk
16,20170101,23시,경기,남양주시,일,경상,차대차,측면충돌,안전거리 미확보,여,31-40세,승용차,상해없음,남,61-64세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,2,0,3,682993.0,2
17,20170102,06시,경남,김해시,월,중상,차대차,측면충돌,안전거리 미확보,남,41-50세,승용차,상해없음,남,31-40세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,맑음,건조,0,1,4,2,5,536086.0,9
18,20170102,08시,강원,평창군,월,중상,차량단독,공작물충돌,안전운전 의무 불이행,남,41-50세,승용차,중상,없음,불명,없음,없음,비사업용,승용차,승용차,없음,없음,없음,흐림,젖음/습기,0,1,0,0,0,42603.0,3
19,20170102,08시,경기,구리시,월,경상,차대차,측면충돌,안전운전 의무 불이행,남,21-30세,화물차,상해없음,남,31-40세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,흐림,건조,0,0,1,0,1,200953.0,1
20,20170102,09시,인천,미추홀구,월,경상,차대차,추돌,기타,여,31-40세,승용차,상해없음,남,61-64세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,2,412702.0,1
21,20170102,11시,경기,용인시,월,경상,차대차,기타,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,31-40세,승용차,경상,사업용,택시,법인택시,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,1032939.0,1
22,20170102,11시,충남,공주시,월,중상,차대차,추돌,안전거리 미확보,남,41-50세,승용차,상해없음,남,51-60세,승용차,상해없음,비사업용,승용차,승용차,사업용,렌터카,렌터카,맑음,건조,0,1,0,0,1,107496.0,3
23,20170102,13시,경기,성남시,월,경상,차대차,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,41-50세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,7,954860.0,1
24,20170102,13시,경북,칠곡군,월,경상,차대차,측면충돌,안전거리 미확보,남,41-50세,승합차,상해없음,남,31-40세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,맑음,건조,0,0,2,0,0,118913.0,2
25,20170102,14시,경기,안산시,월,경상,차대차,기타,안전거리 미확보,남,21-30세,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,2,0,4,662990.0,2
26,20170102,17시,경기,화성시,월,경상,차대차,측면충돌,안전거리 미확보,남,21-30세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,755068.0,1
27,20170102,22시,전남,장성군,월,경상,차대차,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,65세이상,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,맑음,건조,0,0,2,0,0,45882.0,2
28,20170103,04시,경기,여주시,화,중상,차대차,기타,안전운전 의무 불이행,남,21-30세,승용차,중상,남,31-40세,건설기계,상해없음,비사업용,승용차,승용차,사업용,기타/건설기계,기타/건설기계,맑음,건조,0,1,0,0,1,111531.0,3
29,20170103,04시,경남,창녕군,화,중상,차대차,기타,안전운전 의무 불이행,남,65세이상,화물차,상해없음,남,31-40세,화물차,중상,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,0,1,0,0,0,63276.0,3
30,20170103,05시,경남,창녕군,화,중상,차대차,추돌,안전운전 의무 불이행,남,41-50세,화물차,중상,남,51-60세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,0,1,1,0,0,63276.0,4
31,20170103,07시,경기,오산시,화,경상,차대차,기타,안전운전 의무 불이행,남,51-60세,승합차,상해없음,남,21-30세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,맑음,건조,0,0,1,0,2,219962.0,1
32,20170103,07시,경기,화성시,화,경상,차대차,추돌,안전운전 의무 불이행,남,41-50세,화물차,상해없음,남,21-30세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,755068.0,1
33,20170103,11시,경기,용인시,화,경상,차대차,정면충돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,31-40세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,맑음,건조,0,0,1,0,4,1032939.0,1
34,20170103,12시,경기,의정부시,화,부상신고,차대차,측면충돌,안전거리 미확보,여,41-50세,승용차,상해없음,남,51-60세,특수차,부상신고,비사업용,승용차,승용차,사업용,위험물운송,위험물운송,맑음,건조,0,0,0,1,4,446826.0,1
35,20170103,13시,경기,김포시,화,중상,차대차,기타,기타,남,61-64세,건설기계,상해없음,남,51-60세,승용차,경상,비사업용,기타/건설기계,기타/건설기계,비사업용,승용차,승용차,맑음,건조,0,1,1,0,2,417494.0,4
36,20170103,20시,강원,횡성군,화,중상,차대차,추돌,안전운전 의무 불이행,여,41-50세,승용차,중상,남,65세이상,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,2,3,0,0,46527.0,9
37,20170104,06시,경기,안성시,수,중상,차대차,측면충돌,안전거리 미확보,남,61-64세,승용차,상해없음,남,31-40세,화물차,중상,비사업용,승용차,승용차,사업용,화물차,화물차,맑음,건조,0,3,0,0,2,183257.0,9
38,20170104,09시,경기,하남시,수,중상,차대차,측면충돌,안전운전 의무 불이행,남,31-40세,화물차,상해없음,남,61-64세,승용차,중상,사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,2,0,0,0,253119.0,6
39,20170104,14시,경기,용인시,수,경상,차대차,추돌,안전운전 의무 불이행,여,21-30세,승용차,경상,여,41-50세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,2,0,4,1032939.0,2
40,20170104,14시,충북,괴산군,수,경상,차대차,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,61-64세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,0,0,1,0,0,39117.0,1
41,20170104,20시,충남,천안시,수,경상,차대차,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,41-50세,화물차,상해없음,비사업용,승용차,승용차,비사업용,화물차,화물차,맑음,건조,0,0,1,0,4,643288.0,1
42,20170104,22시,경기,용인시,수,중상,차대차,추돌,안전거리 미확보,남,31-40세,화물차,중상,남,41-50세,화물차,상해없음,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,0,1,0,0,4,1032939.0,3
43,20170105,00시,경기,이천시,목,사망,차량단독,공작물충돌,안전운전 의무 불이행,남,51-60세,승용차,사망,없음,불명,없음,없음,사업용,택시,법인택시,없음,없음,없음,맑음,건조,1,0,1,0,1,214394.0,13
44,20170105,08시,충남,천안시,목,중상,차대사람,기타,안전운전 의무 불이행,여,41-50세,승용차,상해없음,남,51-60세,보행자,중상,비사업용,승용차,승용차,보행자,보행자,보행자,맑음,건조,0,1,0,0,4,643288.0,3
45,20170105,10시,경기,성남시,목,중상,차대사람,횡단중,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,41-50세,보행자,중상,비사업용,승용차,승용차,보행자,보행자,보행자,맑음,건조,0,1,0,0,7,954860.0,3
46,20170105,12시,경기,의왕시,목,경상,차대차,기타,안전운전 의무 불이행,남,61-64세,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,0,156951.0,1
47,20170105,15시,경기,화성시,목,경상,차대차,기타,안전운전 의무 불이행,남,21-30세,승합차,상해없음,남,41-50세,승합차,부상신고,기타,기타,기타,사업용,노선버스,시외버스,맑음,건조,0,0,1,2,4,755068.0,3
48,20170105,18시,울산,울주군,목,경상,차대차,기타,안전거리 미확보,남,41-50세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,비,젖음/습기,0,0,1,0,1,221909.0,1
49,20170105,19시,전북,정읍시,목,경상,차대차,추돌,기타,남,51-60세,승용차,기타불명,남,41-50세,화물차,경상,사업용,렌터카,렌터카,비사업용,화물차,화물차,맑음,건조,0,0,2,0,1,112162.0,2
50,20170105,20시,경기,용인시,목,경상,차대차,기타,안전운전 의무 불이행,남,41-50세,승용차,부상신고,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,3,1,4,1032939.0,4
51,20170105,21시,충남,보령시,목,중상,차대차,기타,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,특수차,중상,비사업용,승용차,승용차,사업용,위험물운송,위험물운송,흐림,건조,0,1,0,0,1,102101.0,3
52,20170105,22시,충북,제천시,목,경상,차량단독,공작물충돌,안전운전 의무 불이행,남,41-50세,승용차,경상,없음,불명,없음,없음,사업용,택시,법인택시,없음,없음,없음,맑음,건조,0,0,2,0,2,135478.0,2
53,20170105,22시,충북,제천시,목,경상,차량단독,공작물충돌,안전운전 의무 불이행,남,51-60세,승용차,경상,없음,불명,없음,없음,사업용,택시,개인택시,없음,없음,없음,맑음,건조,0,0,1,0,2,135478.0,1
54,20170105,22시,충북,제천시,목,중상,차대차,추돌,안전운전 의무 불이행,남,51-60세,화물차,부상신고,남,51-60세,화물차,중상,사업용,화물차,화물차,비사업용,화물차,화물차,맑음,건조,0,1,0,1,2,135478.0,4
55,20170105,22시,충북,제천시,목,중상,차대차,추돌,안전운전 의무 불이행,남,61-64세,승용차,중상,여,41-50세,승용차,경상,사업용,택시,개인택시,비사업용,승용차,승용차,맑음,건조,0,1,1,1,2,135478.0,5
56,20170106,06시,경기,용인시,금,경상,차대차,측면충돌,안전운전 의무 불이행,남,51-60세,화물차,기타불명,남,61-64세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,1032939.0,1
57,20170106,07시,경남,김해시,금,경상,차대차,추돌,안전거리 미확보,남,21-30세,화물차,상해없음,남,21-30세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,5,536086.0,1
58,20170106,10시,경기,이천시,금,경상,차대차,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,1,214394.0,1
59,20170106,13시,경남,함안군,금,경상,차대차,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,0,66977.0,1
60,20170106,18시,강원,강릉시,금,중상,차대차,추돌,안전거리 미확보,남,41-50세,승용차,중상,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,2,5,0,4,213450.0,11
61,20170106,18시,경기,하남시,금,경상,차대차,기타,기타,여,31-40세,승용차,경상,남,51-60세,승합차,경상,비사업용,승용차,승용차,사업용,전세버스,전세버스,맑음,건조,0,0,5,0,0,253119.0,5
62,20170106,18시,충북,충주시,금,경상,차대차,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,2,209852.0,1
63,20170106,19시,경기,수원시,금,중상,차대차,추돌,안전운전 의무 불이행,남,31-40세,화물차,상해없음,남,51-60세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,2,1,0,6,1199420.0,7
64,20170106,20시,경기,성남시,금,중상,차대차,측면충돌,안전운전 의무 불이행,남,65세이상,승합차,상해없음,남,31-40세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,맑음,건조,0,1,5,1,7,954860.0,9
65,20170106,21시,경기,안산시,금,경상,차대차,기타,안전운전 의무 불이행,여,21-30세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,662990.0,1
66,20170107,07시,경남,진주시,토,사망,차대차,추돌,안전운전 의무 불이행,남,41-50세,화물차,사망,남,61-64세,화물차,중상,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,1,1,0,0,4,346667.0,15
67,20170107,12시,경기,구리시,토,중상,차대차,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,41-50세,승용차,중상,비사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,1,0,0,1,200953.0,3
68,20170107,13시,경기,성남시,토,경상,차대차,측면충돌,안전거리 미확보,남,51-60세,화물차,상해없음,남,31-40세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,5,0,7,954860.0,5
69,20170107,13시,대구,서구,토,중상,차대차,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,1,5,0,18,484444.0,8
70,20170107,14시,경남,함안군,토,경상,차대차,측면충돌,안전운전 의무 불이행,남,31-40세,화물차,기타불명,남,51-60세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,4,0,0,66977.0,4
71,20170107,16시,경기,고양시,토,경상,차대차,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,3,0,5,1050841.0,3
72,20170107,16시,경기,광주시,토,경상,차대차,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,여,41-50세,승용차,상해없음,비사업용,승용차,승용차,사업용,렌터카,렌터카,맑음,건조,0,0,2,1,1,360794.0,3
73,20170107,18시,인천,미추홀구,토,경상,차대차,측면충돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,2,0,2,412702.0,2
74,20170107,18시,충남,천안시,토,중상,차대차,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,21-30세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,3,2,0,4,643288.0,11
75,20170107,19시,경기,화성시,토,경상,차대차,기타,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,21-30세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,755068.0,1
76,20170107,22시,경기,수원시,토,경상,차대차,추돌,안전거리 미확보,남,31-40세,승용차,상해없음,여,61-64세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,6,1199420.0,1
77,20170108,00시,인천,서구,일,부상신고,차대차,정면충돌,기타,남,21-30세,자전거,부상신고,남,41-50세,승용차,상해없음,자전거,자전거,자전거,사업용,택시,법인택시,맑음,건조,0,0,0,1,18,484444.0,1
78,20170108,01시,강원,춘천시,일,경상,차대차,추돌,안전운전 의무 불이행,남,21-30세,승용차,경상,남,51-60세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,맑음,건조,0,0,4,2,2,280815.0,6
79,20170108,03시,경기,시흥시,일,경상,차대차,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,3,447344.0,1
80,20170108,05시,충남,부여군,일,사망,차대차,기타,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,41-50세,승용차,사망,사업용,택시,개인택시,비사업용,승용차,승용차,맑음,건조,1,0,2,0,0,67968.0,14
81,20170108,06시,경기,평택시,일,경상,차대차,기타,안전거리 미확보,남,51-60세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,2,0,4,496733.0,2
82,20170108,07시,경기,용인시,일,경상,차대차,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,여,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,2,0,4,1032939.0,2
83,20170108,07시,인천,계양구,일,부상신고,차대차,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,65세이상,승용차,부상신고,비사업용,승용차,승용차,사업용,택시,법인택시,맑음,건조,0,0,0,1,2,313312.0,1
84,20170108,11시,경북,김천시,일,중상,차대차,추돌,과속,남,41-50세,승용차,상해없음,남,41-50세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,4,0,0,2,141747.0,12
85,20170108,15시,충남,당진시,일,경상,차대차,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,21-30세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,4,0,1,167417.0,4
86,20170108,19시,경기,시흥시,일,중상,차대차,추돌,안전거리 미확보,남,41-50세,승합차,상해없음,남,31-40세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,맑음,건조,0,1,9,0,3,447344.0,12
87,20170108,22시,부산,강서구,일,중상,차대차,추돌,안전거리 미확보,남,31-40세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,3,1,0,4,123302.0,10
88,20170109,06시,경기,부천시,월,중상,차대차,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,51-60세,화물차,경상,비사업용,화물차,화물차,비사업용,화물차,화물차,맑음,건조,0,1,1,0,4,841364.0,4
89,20170109,06시,경기,용인시,월,경상,차대차,측면충돌,안전운전 의무 불이행,여,20세이하,불명,기타불명,남,41-50세,승용차,경상,불명,불명,불명,비사업용,승용차,승용차,맑음,건조,0,0,2,0,4,1032939.0,2
90,20170109,11시,경남,김해시,월,경상,차대차,추돌,안전운전 의무 불이행,남,65세이상,화물차,상해없음,남,51-60세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,5,536086.0,1
91,20170109,15시,강원,원주시,월,사망,차대차,추돌,안전운전 의무 불이행,여,65세이상,승용차,사망,남,51-60세,건설기계,상해없음,비사업용,승용차,승용차,비사업용,기타/건설기계,기타/건설기계,맑음,건조,1,0,0,0,2,344874.0,12
92,20170109,15시,세종,세종시,월,경상,차대차,기타,안전운전 의무 불이행,남,51-60세,승용차,상해없음,여,51-60세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,2,0,0,0.0,2
93,20170109,17시,인천,연수구,월,경상,차대차,측면충돌,안전거리 미확보,남,41-50세,승합차,상해없음,여,41-50세,승용차,경상,사업용,전세버스,전세버스,기타,기타,기타,맑음,건조,0,0,1,0,1,349350.0,1
94,20170110,00시,강원,원주시,화,중상,차량단독,전도전복,안전운전 의무 불이행,남,20세이하,승용차,상해없음,없음,불명,없음,없음,사업용,렌터카,렌터카,없음,없음,없음,맑음,건조,0,1,0,0,2,344874.0,3
95,20170110,03시,서울,서초구,화,경상,차대차,측면충돌,안전운전 의무 불이행,남,65세이상,승용차,상해없음,남,31-40세,승용차,경상,사업용,택시,법인택시,사업용,렌터카,렌터카,맑음,건조,0,0,2,0,1,435293.0,2
96,20170110,06시,경기,성남시,화,경상,차대차,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,1,0,7,954860.0,1
97,20170110,08시,경기,오산시,화,경상,차대차,측면충돌,안전운전 의무 불이행,남,51-60세,건설기계,상해없음,남,31-40세,승용차,경상,비사업용,기타/건설기계,기타/건설기계,비사업용,승용차,승용차,맑음,건조,0,0,1,0,2,219962.0,1
98,20170110,08시,인천,부평구,화,경상,차대차,추돌,안전운전 의무 불이행,남,51-60세,특수차,상해없음,여,31-40세,승용차,경상,사업용,위험물운송,위험물운송,비사업용,승용차,승용차,맑음,건조,0,0,1,0,3,525386.0,1
99,20170110,10시,경기,군포시,화,경상,차대차,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,여,31-40세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,1,0,2,277991.0,1
100,20170110,16시,경기,화성시,화,경상,차대차,측면충돌,안전거리 미확보,남,61-64세,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,4,755068.0,1
101,20170110,17시,강원,강릉시,화,경상,차대차,추돌,과속,남,41-50세,승용차,경상,남,41-50세,특수차,경상,비사업용,승용차,승용차,사업용,덤프트럭,덤프트럭,맑음,건조,0,0,2,0,4,213450.0,2
102,20170110,17시,경기,성남시,화,중상,차대차,측면충돌,안전거리 미확보,여,51-60세,승용차,중상,여,31-40세,승용차,경상,비사업용,승용차,승용차,사업용,렌터카,렌터카,맑음,건조,0,1,1,0,7,954860.0,4
103,20170110,18시,경기,하남시,화,경상,차대차,측면충돌,안전거리 미확보,여,51-60세,승용차,상해없음,여,21-30세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,0,0,253119.0,1
104,20170111,01시,경기,안성시,수,사망,차대차,기타,안전운전 의무 불이행,남,41-50세,화물차,사망,남,41-50세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,1,1,1,0,2,183257.0,16
105,20170111,01시,인천,부평구,수,경상,차대차,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,사업용,택시,법인택시,맑음,건조,0,0,2,0,3,525386.0,2
106,20170111,03시,경남,김해시,수,중상,차대차,추돌,안전운전 의무 불이행,남,41-50세,화물차,중상,남,41-50세,화물차,경상,비사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,0,1,1,0,5,536086.0,4
107,20170111,04시,경기,평택시,수,부상신고,차대차,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,31-40세,승용차,부상신고,사업용,화물차,화물차,비사업용,승용차,승용차,맑음,건조,0,0,0,1,4,496733.0,1
108,20170111,08시,경기,안성시,수,중상,차대차,추돌,안전운전 의무 불이행,남,31-40세,화물차,상해없음,남,41-50세,화물차,중상,사업용,화물차,화물차,사업용,화물차,화물차,맑음,건조,0,1,1,0,2,183257.0,4
109,20170111,12시,서울,서초구,수,중상,차대차,추돌,안전거리 미확보,남,51-60세,승합차,상해없음,남,31-40세,승합차,상해없음,사업용,노선버스,시내버스,사업용,노선버스,시내버스,맑음,건조,0,1,13,0,1,435293.0,16
110,20170111,15시,경기,양평군,수,중상,차대차,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,65세이상,승용차,중상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,1,1,0,1,116025.0,4
111,20170111,15시,경기,이천시,수,중상,차대사람,기타,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,51-60세,보행자,중상,비사업용,승용차,승용차,보행자,보행자,보행자,맑음,건조,0,1,0,0,1,214394.0,3
