발생일,발생시간,발생지_시도,발생지_시군구,요일,사고내용,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,가해자성별,가해자연령,가해당사자종별,가해자신체상해정도,피해자성별,피해자연령,피해당사자종별,피해자신체상해정도,가해차량용도_대분류,가해차량용도_중분류,가해차량용도,피해차량용도_대분류,피해차량용도_중분류,피해차량용도,도로종류,도로형태_대분류,도로형태,기상상태,노면상태_대분류,노면상태,사망자수,중상자수,경상자수,부상신고자수
20170103,04시,경남,창녕군,화,중상,차대차,기타,기타,안전운전 의무 불이행,남,65세이상,화물차,상해없음,남,31-40세,화물차,중상,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170103,05시,경남,창녕군,화,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,화물차,중상,남,51-60세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,0
20170103,07시,경기,오산시,화,경상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,승합차,상해없음,남,21-30세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170103,07시,경기,화성시,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,화물차,상해없음,남,21-30세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,교량위,맑음,포장,건조,0,0,1,0
20170103,11시,경기,용인시,화,경상,차대차,정면충돌,정면충돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,31-40세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170103,12시,경기,의정부시,화,부상신고,차대차,측면충돌,측면충돌,안전거리 미확보,여,41-50세,승용차,상해없음,남,51-60세,특수차,부상신고,비사업용,승용차,승용차,사업용,위험물운송,위험물운송,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,0,1
20170103,13시,경기,김포시,화,중상,차대차,기타,기타,기타,남,61-64세,건설기계,상해없음,남,51-60세,승용차,경상,비사업용,기타/건설기계,기타/건설기계,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,0
20170103,20시,강원,횡성군,화,중상,차대차,추돌,추돌,안전운전 의무 불이행,여,41-50세,승용차,중상,남,65세이상,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,3,0
20170104,06시,경기,안성시,수,중상,차대차,측면충돌,측면충돌,안전거리 미확보,남,61-64세,승용차,상해없음,남,31-40세,화물차,중상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,3,0,0
20170104,09시,경기,하남시,수,중상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,화물차,상해없음,남,61-64세,승용차,중상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,0,0
20170104,14시,경기,용인시,수,경상,차대차,추돌,추돌,안전운전 의무 불이행,여,21-30세,승용차,경상,여,41-50세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170104,14시,충북,괴산군,수,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,61-64세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,터널안,맑음,포장,건조,0,0,1,0
20170104,20시,충남,천안시,수,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,41-50세,화물차,상해없음,비사업용,승용차,승용차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170104,22시,경기,용인시,수,중상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,화물차,중상,남,41-50세,화물차,상해없음,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170105,00시,경기,이천시,목,사망,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,남,51-60세,승용차,사망,없음,불명,없음,없음,사업용,택시,법인택시,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,1,0,1,0
20170105,08시,충남,천안시,목,중상,차대사람,기타,기타,안전운전 의무 불이행,여,41-50세,승용차,상해없음,남,51-60세,보행자,중상,비사업용,승용차,승용차,보행자,보행자,보행자,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170105,10시,경기,성남시,목,중상,차대사람,횡단중,횡단중,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,41-50세,보행자,중상,비사업용,승용차,승용차,보행자,보행자,보행자,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170105,12시,경기,의왕시,목,경상,차대차,기타,기타,안전운전 의무 불이행,남,61-64세,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170105,15시,경기,화성시,목,경상,차대차,기타,기타,안전운전 의무 불이행,남,21-30세,승합차,상해없음,남,41-50세,승합차,부상신고,기타,기타,기타,사업용,노선버스,시외버스,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,2
20170105,18시,울산,울주군,목,경상,차대차,기타,기타,안전거리 미확보,남,41-50세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,비,포장,젖음/습기,0,0,1,0
20170105,19시,전북,정읍시,목,경상,차대차,추돌,추돌,기타,남,51-60세,승용차,기타불명,남,41-50세,화물차,경상,사업용,렌터카,렌터카,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170105,20시,경기,용인시,목,경상,차대차,기타,기타,안전운전 의무 불이행,남,41-50세,승용차,부상신고,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,1
20170105,21시,충남,보령시,목,중상,차대차,기타,기타,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,특수차,중상,비사업용,승용차,승용차,사업용,위험물운송,위험물운송,고속국도,단일로,기타단일로,흐림,포장,건조,0,1,0,0
20170105,22시,충북,제천시,목,경상,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,남,41-50세,승용차,경상,없음,불명,없음,없음,사업용,택시,법인택시,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170105,22시,충북,제천시,목,경상,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,남,51-60세,승용차,경상,없음,불명,없음,없음,사업용,택시,개인택시,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170105,22시,충북,제천시,목,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,부상신고,남,51-60세,화물차,중상,사업용,화물차,화물차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,1
20170105,22시,충북,제천시,목,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,61-64세,승용차,중상,여,41-50세,승용차,경상,사업용,택시,개인택시,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,1
20170106,06시,경기,용인시,금,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,51-60세,화물차,기타불명,남,61-64세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170106,07시,경남,김해시,금,경상,차대차,추돌,추돌,안전거리 미확보,남,21-30세,화물차,상해없음,남,21-30세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170106,10시,경기,이천시,금,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170106,13시,경남,함안군,금,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170106,18시,강원,강릉시,금,중상,차대차,추돌,추돌,안전거리 미확보,남,41-50세,승용차,중상,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,5,0
20170106,18시,경기,하남시,금,경상,차대차,기타,기타,기타,여,31-40세,승용차,경상,남,51-60세,승합차,경상,비사업용,승용차,승용차,사업용,전세버스,전세버스,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,5,0
20170106,18시,충북,충주시,금,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170106,19시,경기,수원시,금,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,화물차,상해없음,남,51-60세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,1,0
20170106,20시,경기,성남시,금,중상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,65세이상,승합차,상해없음,남,31-40세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,5,1
20170106,21시,경기,안산시,금,경상,차대차,기타,기타,안전운전 의무 불이행,여,21-30세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170107,07시,경남,진주시,토,사망,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,화물차,사망,남,61-64세,화물차,중상,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,1,1,0,0
20170107,12시,경기,구리시,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,41-50세,승용차,중상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170107,13시,경기,성남시,토,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,51-60세,화물차,상해없음,남,31-40세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,5,0
20170107,13시,대구,서구,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,5,0
20170107,14시,경남,함안군,토,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,화물차,기타불명,남,51-60세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,4,0
20170107,16시,경기,고양시,토,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,0
20170107,16시,경기,광주시,토,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,여,41-50세,승용차,상해없음,비사업용,승용차,승용차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,1
20170107,18시,인천,미추홀구,토,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170107,18시,충남,천안시,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,21-30세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,3,2,0
20170107,19시,경기,화성시,토,경상,차대차,기타,기타,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,21-30세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170107,22시,경기,수원시,토,경상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,승용차,상해없음,여,61-64세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170108,00시,인천,서구,일,부상신고,차대차,정면충돌,정면충돌,기타,남,21-30세,자전거,부상신고,남,41-50세,승용차,상해없음,자전거,자전거,자전거,사업용,택시,법인택시,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,0,1
20170108,01시,강원,춘천시,일,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,경상,남,51-60세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,4,2
20170108,03시,경기,시흥시,일,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170108,05시,충남,부여군,일,사망,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,41-50세,승용차,사망,사업용,택시,개인택시,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,1,0,2,0
20170108,06시,경기,평택시,일,경상,차대차,기타,기타,안전거리 미확보,남,51-60세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170108,07시,경기,용인시,일,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,여,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170108,07시,인천,계양구,일,부상신고,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,65세이상,승용차,부상신고,비사업용,승용차,승용차,사업용,택시,법인택시,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,0,1
20170108,11시,경북,김천시,일,중상,차대차,추돌,추돌,과속,남,41-50세,승용차,상해없음,남,41-50세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,4,0,0
20170108,15시,충남,당진시,일,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,21-30세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,4,0
20170108,19시,경기,시흥시,일,중상,차대차,추돌,추돌,안전거리 미확보,남,41-50세,승합차,상해없음,남,31-40세,승용차,경상,사업용,전세버스,전세버스,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,9,0
20170108,22시,부산,강서구,일,중상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,3,1,0
20170109,06시,경기,부천시,월,중상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,51-60세,화물차,경상,비사업용,화물차,화물차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,0
20170109,06시,경기,용인시,월,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,여,20세이하,불명,기타불명,남,41-50세,승용차,경상,불명,불명,불명,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170109,11시,경남,김해시,월,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,65세이상,화물차,상해없음,남,51-60세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170109,15시,강원,원주시,월,사망,차대차,추돌,추돌,안전운전 의무 불이행,여,65세이상,승용차,사망,남,51-60세,건설기계,상해없음,비사업용,승용차,승용차,비사업용,기타/건설기계,기타/건설기계,고속국도,단일로,터널안,맑음,포장,건조,1,0,0,0
20170109,15시,세종,세종시,월,경상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,승용차,상해없음,여,51-60세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170109,17시,인천,연수구,월,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,41-50세,승합차,상해없음,여,41-50세,승용차,경상,사업용,전세버스,전세버스,기타,기타,기타,고속국도,단일로,교량위,맑음,포장,건조,0,0,1,0
20170110,00시,강원,원주시,화,중상,차량단독,전도전복,전도전복,안전운전 의무 불이행,남,20세이하,승용차,상해없음,없음,불명,없음,없음,사업용,렌터카,렌터카,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170110,03시,서울,서초구,화,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,65세이상,승용차,상해없음,남,31-40세,승용차,경상,사업용,택시,법인택시,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170110,06시,경기,성남시,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170110,08시,경기,오산시,화,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,51-60세,건설기계,상해없음,남,31-40세,승용차,경상,비사업용,기타/건설기계,기타/건설기계,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170110,08시,인천,부평구,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,특수차,상해없음,여,31-40세,승용차,경상,사업용,위험물운송,위험물운송,비사업용,승용차,승용차,고속국도,단일로,교량위,맑음,포장,건조,0,0,1,0
20170110,10시,경기,군포시,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,여,31-40세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170110,16시,경기,화성시,화,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,61-64세,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170110,17시,강원,강릉시,화,경상,차대차,추돌,추돌,과속,남,41-50세,승용차,경상,남,41-50세,특수차,경상,비사업용,승용차,승용차,사업용,덤프트럭,덤프트럭,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
